Tag Key,dev,int,Possible Values
aws:cloudformation:logical-id,yes,yes,"['orionadpnetworkvpconpremrouted1orionadpnetworkvpconpremrouted1routablesubnetsSubnet3Subnet9306EA2E', 'orionadpnetworkvpcawsrouted1privatehostedzonename', 'orionadpnetworkvpcawsrouted1orionadpnetworkvpcawsrouted1routablesubnetsSubnet2Subnet05141261', 'orionadpnetworkvpconpremrouted1nonroutable2SubnetC9F1BF30', 'CdkBootstrapVersion', 'MyRepository4C4BD5FC', 'orionadpnetworkvpcawsrouted1orionadpnetworkvpcawsrouted1routablesubnetsSubnet2RouteTableDD955B4C', 'orionadpnetworkvpcawsrouted1orionadpnetworkvpcawsrouted1routablesubnetsSubnet3RouteTable6F666337', 'orionadpnetworkvpconpremrouted1NatGw1', 'orionadpnetworkvpcawsrouted1subnetidlist', 'Parameteradlabelingdevnamespace42B103A0', 'Parameteradlabelingdevcontactsprimarymail06191363', 'orionadpnetworkvpcawsrouted1orionadpnetworkvpcawsrouted1flowlogsloggroupF5955CA1', 'CustomAWSCDKOpenIdConnectProviderCustomResourceProviderHandlerF2C543E0', 'CertificateRequestCRbootstrapacmprivatednscertrequest11BB8819', 'Handler886CB40B', 'Parameteradlabelingdevcontactssecondarymail36E02E86', 'LocalSecurityTopic', 'orionadpnetworkvpconpremrouted1nonroutable2RouteTable04B9EAC4', 'networkonpremvpcResRuleAssocnetworkonpremvpcResRuleAssocproviderframeworkonEventD8E7ABED', 'orionadpnetworkvpconpremrouted1associationorionadpnetworkvpconpremrouted1associationproviderframeworkonEventB52CF6D1', 'CertificateRequestCRCertificateRequestCRproviderframeworkonEvent14105431', 'InstallOverrideListBucket', 'IsCompleteHandler7073F4DA', 'orionadpnetworkvpconpremrouted1orionadpnetworkvpconpremrouted1routablesubnetsSubnet1SubnetEEC2D62B', 'addfadlabelingmws3adlabelingbucketbucket0A19A1EE', 'orionadpnetworkvpconpremrouted1nonroutablesubnetidlist', 'MyDocDbClusterSecurityGroup83B462D3', 'networkonpremvpcResRuleAssocnetworkonpremvpcResRuleAssoclambdaB13868EA', 'orionadpnetworkvpconpremrouted1routablesubnetidlist', 'adlabelingdevoaodeveventpublisher8120B3D5', 'orionadpnetworkvpcawsrouted14707F018', 'addfadlabelingints3adlabelingbucketbucketE6FE0871', 'networkawsroutedvpcResRuleAssocnetworkawsroutedvpcResRuleAssocproviderframeworkonEventF831D0ED', 'orionadpnetworkvpconpremrouted1NatGw2', 'orionadpnetworkvpconpremrouted1NatGw3', 'addfadlabelingdevhelmchartrepohelmchartreporepoA444B63F', 'StringListParameteradlabelingdevprimaryserviceslist24A3FCCB', 'ResolverRuleAssociationCRproviderframeworkonEvent6B1FEEBA', 'orionadpnetworkvpconpremrouted1orionadpnetworkvpconpremrouted1routablesubnetsSubnet2RouteTable9E282912', 'MyCodeBuildProjectSecurityGroupD0668A8E', 'MyCodeBuildProject3BC5EAE2', 'orionadpnetworkvpconpremrouted1nonroutable0RouteTable5957365E', 'adlabelingdevdeveucentral1eventbridgelogsF1B36264', 'Parameteradlabelingdevcloudwatchloggroupname3D1B46F0', 'ResolveInspectorFindingsRunbook', 'ParameteradlabelingdevcontactssecondarynameF37DCDE6', 'logdiscoverymonitoringlogspokeprodeucentral1lgsubscriberrefreshlambdaC6794476', 'adfsecurityscannerlambda162C3BE0', 'orionadpnetworkvpconpremrouted1association63FB880C', 'cloudwatchlinkorionadpmonitoringmetricsspokecloudwatchlinkarn5C5D677F', 'ForwardSnsNotificationGroup', 'orionadpnetworkvpconpremrouted129A7AABF', 'StagingBucket', 'OnEventHandler42BEBAE0', 'LogRetentionaae0aa3c5b4d4f87b02d85b201efdd8aFD4BFC8A', 'CustomECRAutoDeleteImagesCustomResourceProviderHandler8D89C030', 'MyDocDbClusterSecret829B486F', 'CodeBuildProject', 'orionadpnetworkvpconpremrouted1nonroutable1RouteTable2524B5F4', 'adfs3dataeventsonboarding2D078062', 'mangedPrefixListSSMCRmangedPrefixListSSMCRproviderframeworkonEventA75C345C', 'clusterKubectlReadyBarrier17584D5B', 'addfadlabelingdevs3adlabelingbucket1bucketF4D24E07', 'EfsFileSystemEfsSecurityGroup68CC9E7F', 'ProviderframeworkonEvent83C1D0A7', 'AWSCDKCfnUtilsProviderCustomResourceProviderHandlerCF82AA57', 'StringListParameteradlabelingdevsecondaryserviceslist86233C1D', 'adfs3bucket4922469A', 'SecurityHubConfigurationLambda', 'orionadpnetworkvpconpremrouted1orionadpnetworkvpconpremrouted1routablesubnetsSubnet2Subnet0CD1B5A9', 'StringListParameteradlabelingdevremainingservicelistA2CB8875', 'orionadpnetworkvpconpremrouted1nonroutable1SubnetCB33BB59', 'orionadpnetworkvpconpremrouted1orionadpnetworkvpconpremrouted1flowlogsloggroup787DFB64', 'orionadpnetworkvpconpremrouted1orionadpnetworkvpconpremrouted1routablesubnetsSubnet3RouteTableFE0520DD', 'ParameteradlabelingdevcontactsprimarynameA11AA70F', 'CreateAndAttachIAMToEc2InstanceDocument', 'AWS679f53fac002430cb0da5b7982bd22872D164C4C', 'clusterNodegroupclusterdefaulteksngnameng0eksnodequantity3eksnodemaxquantity5eksnodeminquantity1eksnodedisksize20eksnodeinstancetypem5xlarge615C10BD', 'Bucket', 'networkawsroutedvpcResRuleAssocnetworkawsroutedvpcResRuleAssoclambdaC66B5FD7', 'logdiscoverymonitoringlogspokeprodeucentral1loggroupsubscriberlambdaDA5346D2', 'adfdataeventstraillogsE7DD32DC', 'vpcCidrBlockSsmA6E430FF', 'ResolverRuleAssociationCRResolverRuleAssociationCRlambda87F556E8', 'mangedPrefixListSSMCRmanagedprefixlistssmcreationlambda043F3E56', 'ProviderframeworkonTimeout0B47CA38', 'orionadpnetworkvpcawsrouted1association7703FF84', 'prometheusparametersmonitoringmetricsspokeprodeucentral1prometheuscentralroleparam20E1F784', 'MyPipelineArtifactsBucket727923DD', 'prometheusparametersmonitoringmetricsspokeprodeucentral1prometheusworkspaceidE092F6A3', 'prometheusparametersmonitoringmetricsspokeprodeucentral1prometheuscentralremotewriteendpoint60091BCF', 'ForwardSnsNotification', 'Parameteradlabelingdevlambdanotificationfunctionname62781119', 'orionadpnetworkvpcawsrouted1privatehostedzoneid', 'OrgPoliciesCRProviderframeworkonEvent537E0BDE', 'clusterControlPlaneSecurityGroup7F1D5AB2', 'createshcustomactions31427C38', 'Providerwaiterstatemachine5D4A9DF0', 'orionadpnetworkvpconpremrouted1nonroutable0SubnetE1A99FBA', 'adlabelingdevdeveucentral1realmbus12722DCD', 'orionadpnetworkvpcawsrouted1orionadpnetworkvpcawsrouted1routablesubnetsSubnet3SubnetE2426745', 'orionadpnetworkvpconpremrouted1vpcid', 'CodeBuildSGBA023303', 'orionadpnetworkvpcawsrouted1orionadpnetworkvpcawsrouted1routablesubnetsSubnet1Subnet5BC7EF10', 'orionadpnetworkvpcawsrouted1associationorionadpnetworkvpcawsrouted1associationproviderframeworkonEvent5DDCBA6C', 'AutomationRunPatchBaselineRunbook', 'CodeBuildSGParameter7D3C8087', 'Parameteradlabelingdevawsregion2B686064', 'ProviderframeworkisComplete26D7B0CB', 'orionadpnetworkvpconpremrouted1orionadpnetworkvpconpremrouted1routablesubnetsSubnet1RouteTableF2515D7F', 'orionadpnetworkvpcawsrouted1vpcid', 'orionadpnetworkvpcawsrouted1orionadpnetworkvpcawsrouted1routablesubnetsSubnet1RouteTable41F0D2C1']"
eks:cluster-name,yes,no,['addf-ad-labeling-dev-eks-cluster-eks-cluster']
eks:nodegroup-name,yes,no,['clusterNodegroupclusterdefa-AUsAM4Tk2EFl']
Name,yes,yes,"['orionadp-network-vpc-onpremrouted1-NatGw3', 'efsAccessPoint', 'orionadp-network-vpc-awsrouted1-routable-subnets1', 'orionadp-network-vpc-awsrouted1-flow-logs', 'orionadp-network-vpc-onpremrouted1-routable-subnets2', 'orionadp-network-vpc-awsrouted1-routable-subnets2', 'orionadp-network-vpc-onpremrouted1-NatGw2', 'eks-cluster-sg-addf-ad-labeling-mw-eks-cluster-eks-cluster-1543078913', 'orionadp-network-vpc-onpremrouted1-non-routable-subnets2', 'orionadp-network-vpc-onpremrouted1-flow-logs', 'orionadp-network-vpc-awsrouted1-routable-subnets3', 'orionadp-network-vpc-onpremrouted1-routable-subnets3', 'orionadp-network-vpc-awsrouted1', 'orionadp-network-vpc-onpremrouted1', 'orionadp-network-vpc-onpremrouted1-routable-subnets1', 'eks-cluster-sg-addf-ad-labeling-dev-eks-cluster-eks-cluster-876334318', 'orionadp-network-vpc-onpremrouted1-non-routable-subnets1', 'ad-labeling-dev-efs-efs-storage/EfsFileSystem', 'orionadp-network-vpc-onpremrouted1-tgw-association', 'orionadp-network-vpc-onpremrouted1-NatGw1', 'orionadp-network-vpc-onpremrouted1-non-routable-subnets3', 'myTestAccessPoint', 'test_efs_ap_marcinw', 'orionadp-network-vpc-awsrouted1-tgw-association']"
node.k8s.amazonaws.com/instance_id,yes,no,"['i-0b5508fc5464452f8', 'i-07325fa43104ed414', 'i-01d1054947074c36a', 'i-0f9b08966db75f531']"
cluster.k8s.amazonaws.com/name,yes,no,['addf-ad-labeling-dev-eks-cluster-eks-cluster']
node.k8s.amazonaws.com/createdAt,yes,no,"['2024-03-09T18:11:11Z', '2024-05-22T08:59:54Z', '2024-05-22T08:59:39Z', '2024-05-15T15:27:40Z', '2024-03-09T18:11:24Z', '2024-05-15T15:27:54Z', '2024-03-09T18:25:21Z', '2024-03-09T18:25:07Z']"
aws:eks:cluster-name,yes,yes,"['addf-ad-labeling-dev-eks-cluster-eks-cluster', 'addf-ad-labeling-mw-eks-cluster-eks-cluster']"
kubernetes.io/cluster/addf-ad-labeling-dev-eks-cluster-eks-cluster,yes,no,"['shared', 'owned']"
orionadp_platform_managed,yes,yes,['security_protected']
