Resource ARN,Resource Type,Deployment,Module,Name,Type,VPC Type,VPC_Owner_Account,aws-cdk:subnet-name,aws-cdk:subnet-type,aws-control-tower,aws:cloudformation:logical-id,aws:cloudformation:stack-id,aws:cloudformation:stack-name,aws:eks:cluster-name,codeseeder-seedkit,codeseeder-seedkit-name,createdBy,customer_function,kubernetes.io/cluster/addf-ad-labeling-int-eks-cluster-eks-cluster,kubernetes.io/cluster/addf-ad-labeling-mw-eks-cluster-eks-cluster,kubernetes.io/role/internal-elb,lambda:createdBy,orionadp:createdBy,orionadp:gitOrganisation,orionadp:gitRepositoryName,orionadp_platform_managed
arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-platform-default-aws-service-roles/aace3c70-fe77-11ee-9912-06761ed13b6f,cloudformation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-permission-boundary-stack/49b598e0-9052-11ee-870e-024d1116423f,cloudformation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:cloudtrail:eu-central-1:326605791258:trail/adf-data-events-trail,cloudtrail,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,adf,OrionAdpPlatform,security-data-events,N/A
arn:aws:config:eu-central-1:326605791258:aggregation-authorization/446022434687/eu-central-1,config,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,managed-by-control-tower,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:ec2:eu-central-1:326605791258:natgateway/nat-08d3225cf8672de06,ec2,N/A,N/A,orionadp-network-vpc-onpremrouted1-NatGw3,N/A,N/A,N/A,N/A,N/A,N/A,orionadpnetworkvpconpremrouted1NatGw3,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-onpremrouted1/f2476e60-831a-11ee-a7ed-064d8316ca13,orionadp-network-vpc-onpremrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:ec2:eu-central-1:326605791258:route-table/rtb-05c1219077e2d381a,ec2,N/A,N/A,orionadp-network-vpc-onpremrouted1-non-routable-subnets2,non-routable,N/A,N/A,N/A,Private,N/A,orionadpnetworkvpconpremrouted1nonroutable1RouteTable2524B5F4,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-onpremrouted1/f2476e60-831a-11ee-a7ed-064d8316ca13,orionadp-network-vpc-onpremrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:ec2:eu-central-1:326605791258:route-table/rtb-00912116004d1d641,ec2,N/A,N/A,orionadp-network-vpc-onpremrouted1-non-routable-subnets3,non-routable,N/A,N/A,N/A,Private,N/A,orionadpnetworkvpconpremrouted1nonroutable2RouteTable04B9EAC4,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-onpremrouted1/f2476e60-831a-11ee-a7ed-064d8316ca13,orionadp-network-vpc-onpremrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:ec2:eu-central-1:326605791258:subnet/subnet-00763e4e2c5fba15a,ec2,N/A,N/A,orionadp-network-vpc-onpremrouted1-routable-subnets3,routable,N/A,N/A,orionadp-network-vpc-onpremrouted1-routable-subnets,Isolated,N/A,orionadpnetworkvpconpremrouted1orionadpnetworkvpconpremrouted1routablesubnetsSubnet3Subnet9306EA2E,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-onpremrouted1/f2476e60-831a-11ee-a7ed-064d8316ca13,orionadp-network-vpc-onpremrouted1,N/A,N/A,N/A,N/A,platform,shared,shared,1,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:ec2:eu-central-1:326605791258:subnet/subnet-0b352ac3ec6c2bacf,ec2,N/A,N/A,orionadp-network-vpc-onpremrouted1-non-routable-subnets1,non-routable,N/A,N/A,N/A,Private,N/A,orionadpnetworkvpconpremrouted1nonroutable0SubnetE1A99FBA,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-onpremrouted1/f2476e60-831a-11ee-a7ed-064d8316ca13,orionadp-network-vpc-onpremrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:ec2:eu-central-1:326605791258:transit-gateway-attachment/tgw-attach-043a4a633f770f2fd,ec2,N/A,N/A,orionadp-network-vpc-awsrouted1-tgw-association,N/A,aws-routed-vpc,326605791258,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:ec2:eu-central-1:326605791258:vpc/vpc-001f26108a65ed964,ec2,N/A,N/A,orionadp-network-vpc-onpremrouted1,N/A,N/A,N/A,N/A,N/A,N/A,orionadpnetworkvpconpremrouted129A7AABF,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-onpremrouted1/f2476e60-831a-11ee-a7ed-064d8316ca13,orionadp-network-vpc-onpremrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:events:eu-central-1:326605791258:rule/AutoScalingManagedRule,events,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:events:eu-central-1:326605791258:rule/resolveInspectorFindingsWithNoReboot,events,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:events:eu-central-1:326605791258:rule/monitoring-logs-spoke-logdiscoverymonitoringlogspok-U9r5xb284wXo,events,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:events:eu-central-1:326605791258:rule/resolveInspectorFindingsWithReboot,events,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:events:eu-central-1:326605791258:rule/DO-NOT-DELETE-AmazonInspectorLambdaManagedRule,events,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:events:eu-central-1:326605791258:rule/adf-s3-data-event,events,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:lambda:eu-central-1:326605791258:function:network-onprem-vpc-ResRuleAssoc-ResolverRuleAssociation,lambda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,networkonpremvpcResRuleAssocnetworkonpremvpcResRuleAssoclambdaB13868EA,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-onpremrouted1/f2476e60-831a-11ee-a7ed-064d8316ca13,orionadp-network-vpc-onpremrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:lambda:eu-central-1:326605791258:function:orionadp-network-vpc-awsrouted1-association,lambda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,orionadpnetworkvpcawsrouted1association7703FF84,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-awsrouted1/73576600-831a-11ee-9e6a-02349380763f,orionadp-network-vpc-awsrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:lambda:eu-central-1:326605791258:function:monitoring-logs-spoke-logdiscoverymonitoringlogspo-St2njul2NNCE,lambda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,logdiscoverymonitoringlogspokeprodeucentral1lgsubscriberrefreshlambdaC6794476,arn:aws:cloudformation:eu-central-1:326605791258:stack/monitoring-logs-spoke/6be9e3b0-831b-11ee-9242-025a74c864a3,monitoring-logs-spoke,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:lambda:eu-central-1:326605791258:function:orionadp-network-vpc-awsr-networkawsroutedvpcResRu-t1brCUffG0Ny,lambda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,networkawsroutedvpcResRuleAssocnetworkawsroutedvpcResRuleAssocproviderframeworkonEventF831D0ED,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-awsrouted1/73576600-831a-11ee-9e6a-02349380763f,orionadp-network-vpc-awsrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:logs:eu-central-1:326605791258:log-group:orionadp-network-vpc-onpremrouted1-orionadpnetworkvpconpremrouted1orionadpnetworkvpconpremrouted1flowlogsloggroup787DFB64-8zKGGRCEtE3v,logs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,orionadpnetworkvpconpremrouted1orionadpnetworkvpconpremrouted1flowlogsloggroup787DFB64,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-onpremrouted1/f2476e60-831a-11ee-a7ed-064d8316ca13,orionadp-network-vpc-onpremrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:s3:::adf-data-events-trail-326605791258,s3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,adfs3bucket4922469A,arn:aws:cloudformation:eu-central-1:326605791258:stack/adf-data-events-bucket/f5954460-831b-11ee-a67d-0ac54e0d8271,adf-data-events-bucket,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,adf,OrionAdpPlatform,security-data-events,N/A
arn:aws:ssm:eu-central-1:326605791258:document/orionadp-security-CreateAndAttachIAMToEc2Node,ssm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CreateAndAttachIAMToEc2InstanceDocument,arn:aws:cloudformation:eu-central-1:326605791258:stack/security-patch-manager/a6d450d0-8318-11ee-92e0-0a24451cee79,security-patch-manager,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:ssm:eu-central-1:326605791258:parameter/orionadp/blueprint/dns/realm-private-hosted-zone-name,ssm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,orionadpnetworkvpcawsrouted1privatehostedzonename,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-awsrouted1/73576600-831a-11ee-9e6a-02349380763f,orionadp-network-vpc-awsrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:ssm:eu-central-1:326605791258:parameter/orionadp/blueprint/vpc/network-onprem-vpc/non-routable-private-subnets,ssm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,orionadpnetworkvpconpremrouted1nonroutablesubnetidlist,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-onpremrouted1/f2476e60-831a-11ee-a7ed-064d8316ca13,orionadp-network-vpc-onpremrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:cloudformation:eu-central-1:326605791258:stack/aws-codeseeder-addf/bb91da30-b787-11ee-9ee3-0a490793435f,cloudformation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,codeseeder-addf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-platform-qcc-runner-roles/28c8f340-0887-11ef-8070-0a4eb1ba4d61,cloudformation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-shared-base-vpc-resources/2a6c6800-831a-11ee-bbbb-069fb4220557,cloudformation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:codebuild:eu-central-1:326605791258:project/codeseeder-addf,codebuild,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CodeBuildProject,arn:aws:cloudformation:eu-central-1:326605791258:stack/aws-codeseeder-addf/bb91da30-b787-11ee-9ee3-0a490793435f,aws-codeseeder-addf,N/A,codeseeder-addf,codeseeder-addf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:ec2:eu-central-1:326605791258:security-group/sg-0ae7751ba8147fbc9,ec2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,security_protected
arn:aws:ec2:eu-central-1:326605791258:security-group/sg-0a26fe383278743db,ec2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,security_protected
arn:aws:ec2:eu-central-1:326605791258:subnet/subnet-0fc7df3ffac9b63e2,ec2,N/A,N/A,orionadp-network-vpc-awsrouted1-routable-subnets1,routable,N/A,N/A,orionadp-network-vpc-awsrouted1-routable-subnets,Isolated,N/A,orionadpnetworkvpcawsrouted1orionadpnetworkvpcawsrouted1routablesubnetsSubnet1Subnet5BC7EF10,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-awsrouted1/73576600-831a-11ee-9e6a-02349380763f,orionadp-network-vpc-awsrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:events:eu-central-1:326605791258:rule/DO-NOT-DELETE-AmazonInspectorLambdaTagManagedRule,events,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:events:eu-central-1:326605791258:rule/DO-NOT-DELETE-AmazonInspectorEc2TagManagedRule,events,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:lambda:eu-central-1:326605791258:function:aws-controltower-NotificationForwarder,lambda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ForwardSnsNotification,arn:aws:cloudformation:eu-central-1:326605791258:stack/StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-6c202e28-8445-4b29-a19c-639569c723cc/74944fa0-8316-11ee-8bd3-020da3fb637f,StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-6c202e28-8445-4b29-a19c-639569c723cc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:lambda:eu-central-1:326605791258:function:orionadp-network-shared-b-CertificateRequestCRCert-4s3A9fmyiIgE,lambda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CertificateRequestCRCertificateRequestCRproviderframeworkonEvent14105431,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-shared-base-vpc-resources/2a6c6800-831a-11ee-bbbb-069fb4220557,orionadp-network-shared-base-vpc-resources,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:lambda:eu-central-1:326605791258:function:orionadp-network-shared-b-mangedPrefixListSSMCRman-IrjFrZbNvIak,lambda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mangedPrefixListSSMCRmangedPrefixListSSMCRproviderframeworkonEventA75C345C,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-shared-base-vpc-resources/2a6c6800-831a-11ee-bbbb-069fb4220557,orionadp-network-shared-base-vpc-resources,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:lambda:eu-central-1:326605791258:function:bootstrap-acm-privatedns-cert-request,lambda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CertificateRequestCRbootstrapacmprivatednscertrequest11BB8819,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-shared-base-vpc-resources/2a6c6800-831a-11ee-bbbb-069fb4220557,orionadp-network-shared-base-vpc-resources,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:lambda:eu-central-1:326605791258:function:managed-prefix-list-ssm-creation-lambda,lambda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mangedPrefixListSSMCRmanagedprefixlistssmcreationlambda043F3E56,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-shared-base-vpc-resources/2a6c6800-831a-11ee-bbbb-069fb4220557,orionadp-network-shared-base-vpc-resources,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:lambda:eu-central-1:326605791258:function:orionadp-network-vpc-awsr-AWS679f53fac002430cb0da5-r2DIzgBDS0Bu,lambda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AWS679f53fac002430cb0da5b7982bd22872D164C4C,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-awsrouted1/73576600-831a-11ee-9e6a-02349380763f,orionadp-network-vpc-awsrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:lambda:eu-central-1:326605791258:function:monitoring-logs-spoke-LogRetentionaae0aa3c5b4d4f87-hyAJuuhVNht6,lambda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LogRetentionaae0aa3c5b4d4f87b02d85b201efdd8aFD4BFC8A,arn:aws:cloudformation:eu-central-1:326605791258:stack/monitoring-logs-spoke/6be9e3b0-831b-11ee-9242-025a74c864a3,monitoring-logs-spoke,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:lambda:eu-central-1:326605791258:function:adf-security-central-ec2--createshcustomactions314-GQ0522zgW54O,lambda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,createshcustomactions31427C38,arn:aws:cloudformation:eu-central-1:326605791258:stack/adf-security-central-ec2-patching-realm-stack/6d9fd4d0-1128-11ef-a317-0a0589d40351,adf-security-central-ec2-patching-realm-stack,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:lambda:eu-central-1:326605791258:function:adf-security-scanner-lambda,lambda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,adfsecurityscannerlambda162C3BE0,arn:aws:cloudformation:eu-central-1:326605791258:stack/adf-malware-on-boarding/e9c2fdd0-831b-11ee-9953-0673426b2b3b,adf-malware-on-boarding,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,adf,OrionAdpPlatform,security-malware-on-boarding,N/A
arn:aws:logs:eu-central-1:326605791258:log-group:/aws/cloudtrail/adf-data-events-trail-logs,logs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,adfdataeventstraillogsE7DD32DC,arn:aws:cloudformation:eu-central-1:326605791258:stack/adf-data-events-trail/301883e0-831c-11ee-bcb8-0a012b3a1f85,adf-data-events-trail,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,adf,OrionAdpPlatform,security-data-events,N/A
arn:aws:sns:eu-central-1:326605791258:aws-controltower-SecurityNotifications,sns,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LocalSecurityTopic,arn:aws:cloudformation:eu-central-1:326605791258:stack/StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-6c202e28-8445-4b29-a19c-639569c723cc/74944fa0-8316-11ee-8bd3-020da3fb637f,StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-6c202e28-8445-4b29-a19c-639569c723cc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:sqs:eu-central-1:326605791258:monitoring-log-spoke-prod-eu-central-1-subscribe-log-group-rule-dlq-queue,sqs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:ssm:eu-central-1:326605791258:document/orionadp-aws-security-central-ec2-patching-runbook-prod,ssm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AutomationRunPatchBaselineRunbook,arn:aws:cloudformation:eu-central-1:326605791258:stack/adf-security-central-ec2-patching-realm-stack/6d9fd4d0-1128-11ef-a317-0a0589d40351,adf-security-central-ec2-patching-realm-stack,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:ssm:eu-central-1:326605791258:parameter/monitoring-metrics-spoke-prod-eu-central-1-prometheus-central-role-param,ssm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,prometheusparametersmonitoringmetricsspokeprodeucentral1prometheuscentralroleparam20E1F784,arn:aws:cloudformation:eu-central-1:326605791258:stack/monitoring-metrics-spoke/6ab77e30-831b-11ee-80a6-02d096ecbc3f,monitoring-metrics-spoke,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:ssm:eu-central-1:326605791258:parameter/addf/codebuild/security_group,ssm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CodeBuildSGParameter7D3C8087,arn:aws:cloudformation:eu-central-1:326605791258:stack/addf-realm-cicd-codebuild-sg-codebuild-sg-int/ef934b00-b9b9-11ee-88be-0225831fd39b,addf-realm-cicd-codebuild-sg-codebuild-sg-int,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:ssm:eu-central-1:326605791258:parameter/orionadp/blueprint/vpc/network-awsrouted-vpc/private-subnets,ssm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,orionadpnetworkvpcawsrouted1subnetidlist,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-awsrouted1/73576600-831a-11ee-9e6a-02349380763f,orionadp-network-vpc-awsrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:ssm:eu-central-1:326605791258:parameter/orionadp/monitoring/metrics/spoke/cloudwatch/link/arn,ssm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cloudwatchlinkorionadpmonitoringmetricsspokecloudwatchlinkarn5C5D677F,arn:aws:cloudformation:eu-central-1:326605791258:stack/monitoring-metrics-spoke-eu-central-1/8184be20-831b-11ee-b534-02c077530007,monitoring-metrics-spoke-eu-central-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:ssm:eu-central-1:326605791258:parameter/cdk-bootstrap/hnb659fds/version,ssm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CdkBootstrapVersion,arn:aws:cloudformation:eu-central-1:326605791258:stack/CDKToolkit/4c198a20-8318-11ee-a09b-0aded261b16f,CDKToolkit,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:ssm:eu-central-1:326605791258:parameter/orionadp/blueprint/vpc/network-onprem-vpc/routable-private-subnets,ssm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,orionadpnetworkvpconpremrouted1routablesubnetidlist,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-onpremrouted1/f2476e60-831a-11ee-a7ed-064d8316ca13,orionadp-network-vpc-onpremrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:ec2:eu-central-1:326605791258:route-table/rtb-06caf313353bf0bab,ec2,N/A,N/A,orionadp-network-vpc-onpremrouted1-routable-subnets1,routable,N/A,N/A,N/A,N/A,N/A,orionadpnetworkvpconpremrouted1orionadpnetworkvpconpremrouted1routablesubnetsSubnet1RouteTableF2515D7F,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-onpremrouted1/f2476e60-831a-11ee-a7ed-064d8316ca13,orionadp-network-vpc-onpremrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:ec2:eu-central-1:326605791258:route-table/rtb-0429e347b4508f47e,ec2,N/A,N/A,orionadp-network-vpc-onpremrouted1-non-routable-subnets1,non-routable,N/A,N/A,N/A,Private,N/A,orionadpnetworkvpconpremrouted1nonroutable0RouteTable5957365E,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-onpremrouted1/f2476e60-831a-11ee-a7ed-064d8316ca13,orionadp-network-vpc-onpremrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:ec2:eu-central-1:326605791258:security-group/sg-05c45c8adb177039d,ec2,N/A,N/A,eks-cluster-sg-addf-ad-labeling-mw-eks-cluster-eks-cluster-1543078913,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,addf-ad-labeling-mw-eks-cluster-eks-cluster,N/A,N/A,N/A,N/A,N/A,owned,N/A,N/A,N/A,N/A,N/A,N/A
